epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,6407.05,0.94793,0.54205,1.13862,0.77067,0.77642,0.81608,0.4798,1.42094,0.86486,1.42797,0.00158708,0.00158708,0.00158708
64,6507.02,0.949,0.53835,1.13597,0.76099,0.78883,0.82743,0.48492,1.4234,0.85654,1.43281,0.00158042,0.00158042,0.00158042
65,6607.05,0.94021,0.53807,1.12933,0.77261,0.77015,0.81988,0.47992,1.42287,0.86448,1.43469,0.00157376,0.00157376,0.00157376
66,6707.04,0.93168,0.52761,1.12683,0.77472,0.76542,0.81845,0.48169,1.40998,0.86377,1.42243,0.0015671,0.0015671,0.0015671
67,6807.14,0.92211,0.52906,1.11921,0.74315,0.79155,0.81128,0.48431,1.41004,0.86789,1.4218,0.00156044,0.00156044,0.00156044
68,6907.37,0.92042,0.52244,1.11799,0.75493,0.79191,0.81953,0.48748,1.40558,0.84673,1.42595,0.00155378,0.00155378,0.00155378
69,7010.92,0.90597,0.51908,1.11151,0.76862,0.77374,0.82051,0.48515,1.41618,0.85491,1.44045,0.00154712,0.00154712,0.00154712
70,7111.04,0.90999,0.51637,1.10784,0.75379,0.79667,0.82315,0.48527,1.426,0.85794,1.44576,0.00154046,0.00154046,0.00154046
71,7211.15,0.89736,0.51441,1.10116,0.75728,0.78965,0.82385,0.48869,1.41478,0.85589,1.44025,0.0015338,0.0015338,0.0015338
72,7314.8,0.89177,0.50992,1.09951,0.76805,0.77849,0.82128,0.4851,1.4266,0.86637,1.45238,0.00152714,0.00152714,0.00152714
73,7414.79,0.89071,0.50548,1.10222,0.78558,0.76932,0.82289,0.48669,1.41686,0.85893,1.44107,0.00152048,0.00152048,0.00152048
74,7514.93,0.88564,0.50707,1.09406,0.77554,0.78554,0.82276,0.48565,1.42246,0.86681,1.45626,0.00151382,0.00151382,0.00151382
75,7614.84,0.87773,0.5005,1.09066,0.77372,0.78361,0.82589,0.48782,1.42466,0.86695,1.46103,0.00150716,0.00150716,0.00150716
76,7714.98,0.86747,0.49531,1.08471,0.75093,0.79726,0.82042,0.48509,1.42275,0.87014,1.4647,0.0015005,0.0015005,0.0015005
77,7815.04,0.85686,0.4888,1.08158,0.75426,0.79834,0.82234,0.48575,1.4244,0.8613,1.47455,0.00149384,0.00149384,0.00149384
78,7915.05,0.85844,0.48762,1.07967,0.7644,0.786,0.82187,0.48588,1.41245,0.86103,1.46112,0.00148718,0.00148718,0.00148718
79,8015.42,0.85017,0.48112,1.07494,0.78462,0.76537,0.81634,0.48718,1.42665,0.85994,1.47149,0.00148052,0.00148052,0.00148052
