epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,8880.43,1.13319,0.69651,1.60043,0.76949,0.74643,0.81115,0.47031,1.48768,0.94941,1.85285,0.00160706,0.00160706,0.00160706
61,9026.06,1.11357,0.68722,1.58964,0.74733,0.77138,0.80798,0.46246,1.4985,0.94873,1.86696,0.0016004,0.0016004,0.0016004
62,9172.42,1.11604,0.68927,1.59235,0.75807,0.77011,0.81216,0.46889,1.48602,0.94979,1.85758,0.00159374,0.00159374,0.00159374
63,9319.03,1.11049,0.67659,1.57959,0.75504,0.7643,0.80905,0.46492,1.49729,0.94769,1.8688,0.00158708,0.00158708,0.00158708
64,9465.37,1.10468,0.67096,1.58098,0.75458,0.7667,0.80877,0.47108,1.48644,0.95287,1.8635,0.00158042,0.00158042,0.00158042
65,9611.93,1.10139,0.67186,1.5749,0.74402,0.7715,0.80897,0.468,1.48603,0.94184,1.86617,0.00157376,0.00157376,0.00157376
66,9758.09,1.09781,0.6621,1.57251,0.75812,0.76424,0.81024,0.46966,1.48393,0.93437,1.86689,0.0015671,0.0015671,0.0015671
67,9904.37,1.08931,0.65434,1.56594,0.74691,0.78399,0.81285,0.46833,1.4918,0.92771,1.8773,0.00156044,0.00156044,0.00156044
68,10050.8,1.08696,0.65968,1.56134,0.73974,0.78452,0.81703,0.47016,1.48587,0.93616,1.87138,0.00155378,0.00155378,0.00155378
69,10196.5,1.07893,0.65951,1.55422,0.74185,0.7868,0.80613,0.46999,1.48663,0.92819,1.87251,0.00154712,0.00154712,0.00154712
70,10342.8,1.07545,0.64696,1.55276,0.77165,0.76382,0.81705,0.4759,1.48466,0.92144,1.8777,0.00154046,0.00154046,0.00154046
71,10492.3,1.06832,0.648,1.5422,0.76055,0.76961,0.81705,0.47268,1.48907,0.91634,1.88295,0.0015338,0.0015338,0.0015338
72,10638.9,1.0673,0.64685,1.54541,0.75075,0.78044,0.81265,0.47255,1.48404,0.92524,1.87883,0.00152714,0.00152714,0.00152714
73,10785.1,1.05826,0.64204,1.53537,0.75281,0.77991,0.82237,0.47575,1.48921,0.91082,1.88948,0.00152048,0.00152048,0.00152048
74,10931.3,1.05398,0.64256,1.53079,0.75108,0.796,0.82006,0.47485,1.48847,0.91729,1.88934,0.00151382,0.00151382,0.00151382
75,11077.5,1.04512,0.63275,1.52659,0.74903,0.78723,0.81846,0.47337,1.48128,0.91602,1.88074,0.00150716,0.00150716,0.00150716
76,11223.5,1.03948,0.63051,1.51268,0.76647,0.78068,0.82134,0.48002,1.46815,0.899,1.87498,0.0015005,0.0015005,0.0015005
77,11372.9,1.04011,0.62314,1.51936,0.75405,0.77849,0.8161,0.47772,1.47199,0.89911,1.87863,0.00149384,0.00149384,0.00149384
78,11519.1,1.03216,0.61967,1.50665,0.77338,0.78671,0.81916,0.48031,1.47201,0.90715,1.87498,0.00148718,0.00148718,0.00148718
79,11668.8,1.03059,0.62485,1.50926,0.77538,0.77915,0.82571,0.48375,1.4701,0.89671,1.87438,0.00148052,0.00148052,0.00148052
80,11818.8,1.02874,0.62427,1.50142,0.77844,0.79101,0.82484,0.48174,1.47691,0.89914,1.88527,0.00147386,0.00147386,0.00147386
81,11965,1.01225,0.61359,1.48577,0.77549,0.78588,0.81904,0.48198,1.46571,0.89707,1.8813,0.0014672,0.0014672,0.0014672
82,12111.5,1.0151,0.61556,1.49003,0.7797,0.77475,0.81827,0.48062,1.46491,0.901,1.87872,0.00146054,0.00146054,0.00146054
83,12257.6,1.00355,0.60321,1.4771,0.77283,0.76993,0.81829,0.47869,1.46861,0.90292,1.89151,0.00145388,0.00145388,0.00145388
84,12403.7,1.0082,0.61144,1.48775,0.7715,0.77777,0.81429,0.4779,1.47597,0.90452,1.89862,0.00144722,0.00144722,0.00144722
85,12550.3,1.00019,0.60211,1.47739,0.77183,0.77122,0.81698,0.47903,1.46374,0.91129,1.88928,0.00144056,0.00144056,0.00144056
86,12696.7,0.99649,0.60444,1.4718,0.77186,0.77496,0.81831,0.48013,1.46569,0.90091,1.89404,0.0014339,0.0014339,0.0014339
87,12843.4,0.98622,0.59534,1.46465,0.77657,0.77923,0.81977,0.48194,1.46701,0.90241,1.898,0.00142724,0.00142724,0.00142724
88,12990.2,0.97782,0.59005,1.45547,0.77386,0.77221,0.82061,0.48316,1.46614,0.90687,1.9008,0.00142058,0.00142058,0.00142058
89,13136.3,0.97749,0.59302,1.45712,0.78275,0.76724,0.81711,0.48148,1.46291,0.90393,1.89789,0.00141392,0.00141392,0.00141392
90,13282.5,0.98113,0.59127,1.45404,0.77889,0.77487,0.82091,0.48356,1.45693,0.89795,1.89092,0.00140726,0.00140726,0.00140726
91,13428.8,0.9715,0.58661,1.44938,0.78377,0.7745,0.81912,0.48157,1.46102,0.90221,1.9027,0.0014006,0.0014006,0.0014006
92,13575,0.96139,0.58403,1.43596,0.77385,0.76802,0.81633,0.47891,1.46918,0.90242,1.91019,0.00139394,0.00139394,0.00139394
93,13721.4,0.96156,0.57872,1.44159,0.77251,0.77001,0.81582,0.47961,1.46711,0.90173,1.91414,0.00138728,0.00138728,0.00138728
94,13867.7,0.95432,0.57497,1.43556,0.77387,0.77463,0.81788,0.48291,1.46034,0.89741,1.91059,0.00138062,0.00138062,0.00138062
95,14013.6,0.95653,0.57926,1.43651,0.77969,0.76849,0.81677,0.48057,1.4562,0.89868,1.90373,0.00137396,0.00137396,0.00137396
96,14159.6,0.94476,0.57516,1.42261,0.79084,0.7536,0.81512,0.48031,1.45392,0.89281,1.90943,0.0013673,0.0013673,0.0013673
97,14305.5,0.9416,0.57129,1.41934,0.78013,0.76861,0.81439,0.48103,1.45484,0.88978,1.91594,0.00136064,0.00136064,0.00136064
